GENE	ctrl1	ctrl2	ctrl3	treat1	treat2	treat3
Nov	2	3	4	5	7	6
Nova1	43	56	84	54	54	54
Nova2	26	29	23	26	25	20
Nox1	0	0	1	0	1	2
Nox3	0	0	0	0	0	0
Nox4	10855	7115	11507	7946	7317	5793
Noxa1	0	0	0	0	0	0
Noxo1	56	60	61	55	57	50
Noxred1	18	29	9	17	13	19
Npas1	11	15	14	13	11	7
Npas2	180	254	140	310	364	344
Npas3	0	2	0	1	0	4
Npas4	0	0	1	0	0	0
Npat	477	552	556	499	542	581
Npb	24	30	11	14	27	33
Npbwr1	0	1	1	0	2	0
Npc1	726	855	752	887	902	883
Npc1l1	10	16	17	12	20	21
Npc2	3247	3662	3694	3887	4380	4737
Npcd	0	0	0	0	0	0
Npdc1	924	1064	1146	1201	1333	1489
Npepl1	1346	1400	1657	1560	1518	1685
Npepps	2090	2265	2410	2416	2444	2930
Npff	17	18	29	13	12	12
Npffr1	0	0	0	0	0	0
Npffr2	0	2	1	2	2	3
Nphp1	1073	1036	1250	1133	1213	1258
Nphp3	207	233	308	241	243	242
Nphp4	79	74	84	90	103	83
Nphs1	510	306	465	563	285	298
Nphs1os	0	1	0	0	0	0
Nphs2	1763	1110	1776	2076	942	1159
Npl	1138	824	1039	1294	956	917
Nploc4	1468	1545	1545	1627	1692	1721
Npm1	1319	1381	1457	1430	1473	1640
Npm2	7	4	3	7	3	5
Npm3	139	125	145	99	110	111
Npm3-ps1	194	185	210	161	124	143
Npnt	18476	19368	19593	28270	33039	35502
Nppa	2	1	2	0	0	5
Nppb	0	0	0	0	0	0
Nppc	3	4	0	0	1	1
Npr1	468	515	569	511	571	549
Npr2	405	336	494	338	303	260
Npr3	266	214	301	322	187	201
Nprl2	654	593	715	745	727	774
Nprl3	457	542	554	533	520	615
Nps	1	5	1	0	1	9
Npsr1	8	15	21	14	13	18
Nptn	4073	4591	4687	4756	5345	5710
Nptx1	1	1	2	3	5	5
Nptx2	5	1	3	1	3	2
Nptxr	5	5	6	3	4	6
Npvf	0	0	0	0	0	0
Npw	0	0	0	1	0	0
Npy	8	3	6	2	2	0
Npy1r	13	21	26	8	5	10
Npy2r	3	1	3	0	2	2
Npy4r	0	0	0	0	0	0
Npy5r	0	0	0	0	0	0
Npy6r	806	842	950	1358	1610	1642
Nqo1	540	579	648	914	874	1291
Nqo2	1457	1558	1647	1805	1907	2355
Nr0b1	1	0	1	0	0	0
Nr0b2	46	56	54	56	58	80
Nr1d1	2068	2042	2689	1545	2243	1578
Nr1d2	1464	1342	2244	990	1321	936
Nr1h2	1835	2097	2211	2088	2413	2361
Nr1h3	582	479	764	476	437	424
Nr1h4	1043	747	1113	888	735	553
Nr1h5	0	0	0	0	0	1
Nr1i2	103	86	110	96	93	63
Nr1i3	3	3	4	0	8	3
Nr2c1	331	313	353	385	355	411
Nr2c2	532	623	590	590	658	745
Nr2c2ap	46	56	57	55	56	55
Nr2e1	0	0	0	0	1	0
Nr2e3	0	2	2	2	0	0
Nr2f1	19	17	18	27	18	10
Nr2f2	1281	1280	1664	1280	1365	1100
Nr2f6	2506	2854	2812	2900	3132	3505
Nr3c1	1429	1296	1687	1350	1316	1143
Nr3c2	1265	1591	1449	1240	1501	1699
Nr4a1	1368	1355	910	1180	785	928
Nr4a2	45	52	29	42	36	40
Nr4a3	4	6	1	7	12	3
Nr5a1	0	0	0	0	0	0
Nr5a2	2	3	3	4	6	7
Nr6a1	149	197	169	153	227	128
Nradd	45	62	50	48	38	42
Nrap	34	33	36	31	33	14
Nrarp	754	1130	777	828	882	924
Nras	866	985	1057	929	1117	1120
Nrbf2	134	169	152	155	150	174
Nrbp1	1336	1392	1577	1411	1533	1593
Nrbp2	1293	1566	1544	1502	1776	1724
Nrcam	57	43	34	24	16	21
Nrd1	3075	3049	3490	3205	3476	3733
Nrde2	392	382	425	406	530	431
Nrep	829	1086	847	629	576	531
Nrf1	386	458	485	419	400	449
